Project,Subproject,Treatment,"Deployment Name","ID Type","Deployment ID","Sequence ID","Begin Time","End Time","Species Name","Common Name",Age,Sex,"Individually Identifiable",Count,"Actual Lat","Actual Lon",Fuzzed
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s51,2018-06-17T06:50:38,2018-06-17T06:51:38,"Bos taurus","Domestic Cow",Unknown,Unknown,N,1,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s52,2018-06-17T06:53:17,2018-06-17T06:53:56,"Bos taurus","Domestic Cow",Unknown,Unknown,N,1,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s53,2018-06-17T06:55:07,2018-06-17T06:57:21,"Bos taurus","Domestic Cow",Unknown,Unknown,N,2,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s54,2018-06-17T07:10:52,2018-06-17T07:10:58,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,1,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s55,2018-06-17T08:15:02,2018-06-17T08:15:31,"Bos taurus","Domestic Cow",Unknown,Unknown,N,1,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s56,2018-06-17T08:49:33,2018-06-17T08:53:30,"Bos taurus","Domestic Cow",Unknown,Unknown,N,3,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s57,2018-06-18T11:22:52,2018-06-18T11:23:05,Vehicle,Vehicle,Unknown,Unknown,N,1,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s58,2018-06-19T07:06:57,2018-06-19T07:07:02,"Bos taurus","Domestic Cow",Unknown,Unknown,N,1,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s59,2018-06-19T07:47:29,2018-06-19T07:53:40,"Bos taurus","Domestic Cow",Unknown,Unknown,N,8,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s6,2018-06-12T20:43:23,2018-06-12T20:44:39,"Bos taurus","Domestic Cow",Unknown,Unknown,N,6,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s60,2018-06-19T11:43:59,2018-06-19T11:44:28,"Bos taurus","Domestic Cow",Unknown,Unknown,N,6,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s60,2018-06-19T11:43:59,2018-06-19T11:44:28,"Ursus americanus","American Black Bear",Unknown,Unknown,N,1,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s61,2018-06-19T11:45:45,2018-06-19T11:45:50,"Bos taurus","Domestic Cow",Unknown,Unknown,N,5,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s61,2018-06-19T11:45:45,2018-06-19T11:45:50,"Ursus americanus","American Black Bear",Unknown,Unknown,N,1,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s62,2018-06-19T14:39:47,2018-06-19T14:41:04,"Odocoileus virginianus","White-tailed Deer",Adult,Male,N,2,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s63,2018-06-19T19:54:29,2018-06-19T19:54:34,"Bos taurus","Domestic Cow",Unknown,Unknown,N,1,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s64,2018-06-20T01:52:28,2018-06-20T01:55:12,"Bos taurus","Domestic Cow",Unknown,Unknown,N,5,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s65,2018-06-20T01:57:51,2018-06-20T01:59:15,"Bos taurus","Domestic Cow",Unknown,Unknown,N,3,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s66,2018-06-20T02:00:32,2018-06-20T02:01:02,"Bos taurus","Domestic Cow",Unknown,Unknown,N,1,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s67,2018-06-20T06:08:22,2018-06-20T06:09:09,"Bos taurus","Domestic Cow",Unknown,Unknown,N,3,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s68,2018-06-20T06:16:50,2018-06-20T06:19:11,"Bos taurus","Domestic Cow",Unknown,Unknown,N,6,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s69,2018-06-20T06:22:59,2018-06-20T06:23:14,"Bos taurus","Domestic Cow",Unknown,Unknown,N,2,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s7,2018-06-13T03:17:27,2018-06-13T03:17:41,"Odocoileus virginianus","White-tailed Deer",Adult,Male,N,1,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s70,2018-06-20T06:37:52,2018-06-20T06:37:58,"Bos taurus","Domestic Cow",Unknown,Unknown,N,2,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s71,2018-06-20T07:07:40,2018-06-20T07:07:46,"Bos taurus","Domestic Cow",Unknown,Unknown,N,6,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s72,2018-06-20T08:02:33,2018-06-20T08:03:23,"Bos taurus","Domestic Cow",Unknown,Unknown,N,3,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s73,2018-06-20T08:19:35,2018-06-20T08:20:40,"Bos taurus","Domestic Cow",Unknown,Unknown,N,3,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s74,2018-06-20T10:22:04,2018-06-20T10:22:19,Vehicle,Vehicle,Unknown,Unknown,N,1,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s75,2018-06-20T11:01:41,2018-06-20T11:01:46,Vehicle,Vehicle,Unknown,Unknown,N,1,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s76,2018-06-21T06:55:09,2018-06-21T06:56:46,"Bos taurus","Domestic Cow",Unknown,Unknown,N,5,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s77,2018-06-21T06:58:18,2018-06-21T06:58:23,"Bos taurus","Domestic Cow",Unknown,Unknown,N,2,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s78,2018-06-24T04:29:59,2018-06-24T04:30:19,"Odocoileus hemionus","Mule Deer",Adult,Male,N,1,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s79,2018-06-24T10:06:09,2018-06-24T10:06:31,"Odocoileus hemionus","Mule Deer",Adult,Male,N,2,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s8,2018-06-13T05:29:44,2018-06-13T05:30:00,"Bos taurus","Domestic Cow",Unknown,Unknown,N,2,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s80,2018-06-24T20:35:09,2018-06-24T20:37:54,"Bos taurus","Domestic Cow",Unknown,Unknown,N,1,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s81,2018-06-24T20:43:03,2018-06-24T20:43:20,"Bos taurus","Domestic Cow",Unknown,Unknown,N,1,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s82,2018-06-24T22:21:24,2018-06-24T22:21:44,"Odocoileus hemionus","Mule Deer",Adult,Male,N,1,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s83,2018-06-25T06:08:48,2018-06-25T06:14:58,"Bos taurus","Domestic Cow",Unknown,Unknown,N,4,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s84,2018-06-25T06:16:06,2018-06-25T06:16:52,"Bos taurus","Domestic Cow",Unknown,Unknown,N,3,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s85,2018-06-25T06:18:01,2018-06-25T06:19:00,"Bos taurus","Domestic Cow",Unknown,Unknown,N,3,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s86,2018-06-25T06:20:10,2018-06-25T06:20:15,"Bos taurus","Domestic Cow",Unknown,Unknown,N,3,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s87,2018-06-25T06:21:17,2018-06-25T06:21:23,"Bos taurus","Domestic Cow",Unknown,Unknown,N,2,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s88,2018-06-25T06:43:43,2018-06-25T06:44:03,"Bos taurus","Domestic Cow",Unknown,Unknown,N,3,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s89,2018-06-25T07:10:08,2018-06-25T07:15:36,"Bos taurus","Domestic Cow",Unknown,Unknown,N,15,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s9,2018-06-13T05:31:02,2018-06-13T05:31:15,"Bos taurus","Domestic Cow",Unknown,Unknown,N,2,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s90,2018-06-25T07:16:41,2018-06-25T07:16:47,"Bos taurus","Domestic Cow",Unknown,Unknown,N,5,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s91,2018-06-25T07:18:28,2018-06-25T07:19:52,"Bos taurus","Domestic Cow",Unknown,Unknown,N,8,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s92,2018-06-25T07:21:11,2018-06-25T07:22:00,"Bos taurus","Domestic Cow",Unknown,Unknown,N,10,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s93,2018-06-25T07:27:02,2018-06-25T07:35:53,"Bos taurus","Domestic Cow",Unknown,Unknown,N,8,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s94,2018-06-25T07:56:17,2018-06-25T07:56:23,"Bos taurus","Domestic Cow",Unknown,Unknown,N,4,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s95,2018-06-25T08:13:24,2018-06-25T08:13:48,"Bos taurus","Domestic Cow",Unknown,Unknown,N,1,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s96,2018-06-25T10:04:59,2018-06-25T10:05:11,Vehicle,Vehicle,Unknown,Unknown,N,1,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s97,2018-06-25T10:21:56,2018-06-25T10:22:14,"Bos taurus","Domestic Cow",Unknown,Unknown,N,1,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s98,2018-06-25T10:24:42,2018-06-25T10:28:42,"Bos taurus","Domestic Cow",Unknown,Unknown,N,2,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec064_Mem001.20180612,Researcher,d46069,d46069s99,2018-06-25T10:30:57,2018-06-25T10:31:03,"No Animal","No Animal",Unknown,Unknown,N,1,47.07061,-113.24006,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s1,2018-09-18T14:34:23,2018-09-18T14:34:30,"Camera Trapper","Camera Trapper",Unknown,Unknown,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s10,2018-09-20T20:39:41,2018-09-20T20:39:47,"Odocoileus virginianus","White-tailed Deer",Adult,Male,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s100,2018-10-18T22:37:44,2018-10-18T22:37:50,"Odocoileus virginianus","White-tailed Deer",Unknown,Unknown,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s101,2018-10-18T22:42:22,2018-10-18T22:42:28,"Odocoileus virginianus","White-tailed Deer",Unknown,Unknown,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s102,2018-10-20T13:50:47,2018-10-20T13:50:54,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s103,2018-10-20T18:50:33,2018-10-20T18:50:49,"Odocoileus virginianus","White-tailed Deer",Adult,Male,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s104,2018-10-21T10:38:35,2018-10-21T10:38:43,"Cervus elaphus","Elk aka Red Deer",Adult,Male,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s104,2018-10-21T10:38:35,2018-10-21T10:38:43,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s104,2018-10-21T10:38:35,2018-10-21T10:38:43,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,2,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s105,2018-10-21T10:39:56,2018-10-21T10:40:31,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,3,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s105,2018-10-21T10:39:56,2018-10-21T10:40:31,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s106,2018-10-22T00:58:23,2018-10-22T00:58:29,"Odocoileus virginianus","White-tailed Deer",Adult,Female,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s107,2018-10-22T01:02:22,2018-10-22T01:02:28,"Odocoileus virginianus","White-tailed Deer",Adult,Female,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s108,2018-10-26T01:14:32,2018-10-26T01:14:38,"Odocoileus virginianus","White-tailed Deer",Unknown,Unknown,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s109,2018-10-26T16:04:02,2018-10-26T16:04:08,"Odocoileus virginianus","White-tailed Deer",Unknown,Unknown,N,3,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s11,2018-09-21T08:38:59,2018-09-21T08:39:06,"Odocoileus virginianus","White-tailed Deer",Unknown,Unknown,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s110,2018-10-26T16:17:56,2018-10-26T16:18:02,"Odocoileus virginianus","White-tailed Deer",Adult,Female,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s110,2018-10-26T16:17:56,2018-10-26T16:18:02,"Odocoileus virginianus","White-tailed Deer",Unknown,Unknown,N,2,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s111,2018-10-26T16:20:33,2018-10-26T16:22:22,"Odocoileus virginianus","White-tailed Deer",Unknown,Unknown,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s112,2018-10-26T16:23:55,2018-10-26T16:24:02,"Odocoileus virginianus","White-tailed Deer",Adult,Female,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s113,2018-10-26T16:25:08,2018-10-26T16:26:09,"Odocoileus virginianus","White-tailed Deer",Adult,Female,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s114,2018-10-28T18:09:50,2018-10-28T18:09:56,"Odocoileus virginianus","White-tailed Deer",Unknown,Unknown,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s115,2018-10-28T21:05:28,2018-10-28T21:05:43,"Odocoileus virginianus","White-tailed Deer",Adult,Female,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s115,2018-10-28T21:05:28,2018-10-28T21:05:43,"Odocoileus virginianus","White-tailed Deer",Juvenile,Unknown,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s116,2018-10-29T16:31:35,2018-10-29T16:31:51,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s116,2018-10-29T16:31:35,2018-10-29T16:31:51,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,2,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s117,2018-10-30T11:07:53,2018-10-30T11:08:21,"Odocoileus hemionus","Mule Deer",Adult,Male,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s117,2018-10-30T11:07:53,2018-10-30T11:08:21,"Odocoileus hemionus","Mule Deer",Adult,Female,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s118,2018-11-01T16:10:05,2018-11-01T16:10:11,"Odocoileus virginianus","White-tailed Deer",Unknown,Unknown,N,4,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s119,2018-11-01T17:02:33,2018-11-01T17:02:39,"Odocoileus virginianus","White-tailed Deer",Adult,Male,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s119,2018-11-01T17:02:33,2018-11-01T17:02:39,"Odocoileus virginianus","White-tailed Deer",Adult,Female,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s119,2018-11-01T17:02:33,2018-11-01T17:02:39,"Odocoileus virginianus","White-tailed Deer",Unknown,Unknown,N,3,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s12,2018-09-21T08:42:11,2018-09-21T08:42:17,"Odocoileus virginianus","White-tailed Deer",Unknown,Unknown,N,3,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s120,2018-11-01T17:33:16,2018-11-01T17:35:09,"Cervus elaphus","Elk aka Red Deer",Adult,Male,N,2,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s120,2018-11-01T17:33:16,2018-11-01T17:35:09,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,4,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s120,2018-11-01T17:33:16,2018-11-01T17:35:09,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,26,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s121,2018-11-01T17:36:50,2018-11-01T17:39:25,"Cervus elaphus","Elk aka Red Deer",Adult,Male,N,2,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s121,2018-11-01T17:36:50,2018-11-01T17:39:25,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,4,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s121,2018-11-01T17:36:50,2018-11-01T17:39:25,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,13,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s122,2018-11-01T17:40:36,2018-11-01T17:40:42,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s122,2018-11-01T17:40:36,2018-11-01T17:40:42,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s123,2018-11-02T10:20:43,2018-11-02T10:20:49,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s124,2018-11-09T00:35:07,2018-11-09T00:35:12,"Odocoileus virginianus","White-tailed Deer",Unknown,Unknown,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s125,2018-11-15T10:08:14,2018-11-15T10:08:46,"Odocoileus virginianus","White-tailed Deer",Adult,Female,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s126,2018-11-16T04:55:27,2018-11-16T04:55:52,"Odocoileus virginianus","White-tailed Deer",Adult,Male,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s126,2018-11-16T04:55:27,2018-11-16T04:55:52,"Odocoileus virginianus","White-tailed Deer",Unknown,Unknown,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s127,2018-11-16T09:33:17,2018-11-16T09:33:22,"Odocoileus virginianus","White-tailed Deer",Adult,Male,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s128,2018-11-16T09:39:30,2018-11-16T09:39:36,"Odocoileus virginianus","White-tailed Deer",Adult,Male,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s129,2018-11-18T08:54:28,2018-11-18T08:54:36,"No Animal","No Animal",Unknown,Unknown,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s13,2018-09-21T20:54:08,2018-09-21T20:54:30,"Odocoileus virginianus","White-tailed Deer",Unknown,Unknown,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s130,2018-11-18T09:00:57,2018-11-18T09:01:04,"Odocoileus virginianus","White-tailed Deer",Adult,Male,N,1,47.09565,-113.20647,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec048_Mem001.20180918,Researcher,d66450,d66450s131,2018-11-18T20:21:47,2018-11-18T20:21:54,"Odocoileus virginianus","White-tailed Deer",Unknown,Unknown,N,1,47.09565,-113.20647,False
